id|sentence
CNXP-opiniao-20250607-61b5a608-13|O movimento do outro.
CNXP-opiniao-20250607-61b5a608-14|A reação em massa.
CNXP-opiniao-20250607-61b5a608-15|A verdade é que o ser humano não aguenta estar parado quando todo mundo parece estar se movendo.
CNXP-opiniao-20250607-61b5a608-16|A ansiedade de parecer inerte consome qualquer razão.
CNXP-opiniao-20250607-61b5a608-17|E isso, meu amigo, é o coração do comportamento de massa.
CNXP-opiniao-20250607-61b5a608-18|É o fundamento do marketing moderno.
CNXP-opiniao-20250607-61b5a608-19|É o algoritmo da vida.
CNXP-opiniao-20250607-61b5a608-20|É a chave da viralização.
CNXP-opiniao-20250607-61b5a608-21|Quer ver outro exemplo?
CNXP-opiniao-20250607-61b5a608-22|Você está numa fila que não anda.
CNXP-opiniao-20250607-61b5a608-23|Já pensou em desistir.
CNXP-opiniao-20250607-61b5a608-24|Mas aí, alguém chega atrás de você.
CNXP-opiniao-20250607-61b5a608-25|E, de repente, você fica.
CNXP-opiniao-20250607-61b5a608-26|A simples presença de outro ser humano validando aquela espera te convence a continuar.
CNXP-opiniao-20250607-61b5a608-27|Não porque a fila anda.
CNXP-opiniao-20250607-61b5a608-28|Mas porque agora você não está mais sozinho nela.
CNXP-opiniao-20250607-61b5a608-29|Esse é o poder da repetição.
CNXP-opiniao-20250607-61b5a608-30|Do efeito manada.
CNXP-opiniao-20250607-61b5a608-31|E é aqui que entra o Nikolas Ferreira.
CNXP-opiniao-20250607-61b5a608-32|Ele é, sem dúvida, um dos maiores fenômenos políticos digitais do Brasil.
CNXP-opiniao-20250607-61b5a608-33|Seus vídeos ultrapassam milhões de visualizações.
CNXP-opiniao-20250607-61b5a608-34|Ele arrasta multidões.
CNXP-opiniao-20250607-61b5a608-35|Ele não apenas aparece — ele move.
CNXP-opiniao-20250607-61b5a608-36|Move afetos, raivas, paixões.
CNXP-opiniao-20250607-61b5a608-37|E tudo isso sem recorrer a uma única fórmula secreta de tráfego pago ou curso online.
CNXP-opiniao-20250607-61b5a608-38|Ele simplesmente entendeu o que a maioria ignora: que as pessoas seguem movimentos, não discursos.
CNXP-opiniao-20250607-61b5a608-39|Nikolas criou o ambiente.
CNXP-opiniao-20250607-61b5a608-40|Gerou a movimentação.
CNXP-opiniao-20250607-61b5a608-41|Virou a pessoa “na frente da fila”.
CNXP-opiniao-20250607-61b5a608-42|E agora, milhões seguem, mesmo sem saber por quê.
CNXP-opiniao-20250607-61b5a608-43|Só que tem um detalhe importante aqui: você não é o Nikolas Ferreira.
CNXP-opiniao-20250607-61b5a608-44|E tudo bem.
CNXP-opiniao-20250607-61b5a608-45|Aliás, esse é o ponto.
CNXP-opiniao-20250607-61b5a608-46|A maioria dos políticos, comunicadores e influenciadores vive uma angústia crônica por não ter o alcance do Nikolas.
CNXP-opiniao-20250607-61b5a608-47|Querem os milhões de views.
CNXP-opiniao-20250607-61b5a608-48|O aplauso em praça pública.
CNXP-opiniao-20250607-61b5a608-49|Mas não fazem ideia do custo.
CNXP-opiniao-20250607-61b5a608-50|Porque esse jogo tem preço.
CNXP-opiniao-20250607-61b5a608-51|E, pior: tem distorção de realidade.
CNXP-opiniao-20250607-61b5a608-52|Hoje, as pessoas perderam completamente a noção de escala.
CNXP-opiniao-20250607-61b5a608-53|Acham pouco quando um vídeo tem cinco mil visualizações.
CNXP-opiniao-20250607-61b5a608-54|Mas cinco mil pessoas numa sala é uma multidão.
CNXP-opiniao-20250607-61b5a608-55|É um estádio pequeno lotado.
CNXP-opiniao-20250607-61b5a608-56|É um auditório rugindo.
CNXP-opiniao-20250607-61b5a608-57|Mas, como o número está na tela, e não na carne, parece pouco.
CNXP-opiniao-20250607-61b5a608-58|Você já percebeu o quanto nos tornamos escravos de telas?
CNXP-opiniao-20250607-61b5a608-59|De algoritmos que decidem se você é digno de atenção?
CNXP-opiniao-20250607-61b5a608-60|Você posta, espera, atualiza… e sofre.
CNXP-opiniao-20250607-61b5a608-61|Vira funcionário não remunerado de uma máquina que nunca te prometeu nada.
CNXP-opiniao-20250607-61b5a608-62|E é aí que mora o perigo.
CNXP-opiniao-20250607-61b5a608-63|Porque, pra agradar o algoritmo, você começa a matar quem você é.
CNXP-opiniao-20250607-61b5a608-64|A dizer o que não pensa.
CNXP-opiniao-20250607-61b5a608-65|A gravar o que não sente.
CNXP-opiniao-20250607-61b5a608-66|A virar personagem de um teatro que nem é seu.
CNXP-opiniao-20250607-61b5a608-67|Você perde autenticidade.
CNXP-opiniao-20250607-61b5a608-68|E, na tentativa de viralizar como o Nikolas, vira só mais um que levanta do banco do avião sem saber por quê.
CNXP-opiniao-20250607-61b5a608-69|Então, se você quer um conselho de verdade — aqui vai: não tente ser o Nikolas.
CNXP-opiniao-20250607-61b5a608-70|Entenda o que faz as pessoas se moverem.
CNXP-opiniao-20250607-61b5a608-71|Não mire no viral.
CNXP-opiniao-20250607-61b5a608-72|Mire na construção.
CNXP-opiniao-20250607-61b5a608-73|Seja aquele que começa o movimento.
CNXP-opiniao-20250607-61b5a608-74|Mesmo que ninguém veja de início.
CNXP-opiniao-20250607-61b5a608-75|Porque todo movimento começa pequeno.
CNXP-opiniao-20250607-61b5a608-76|Mas é constante, coerente e consciente.
CNXP-opiniao-20250607-61b5a608-77|Entenda que pessoas não se engajam com ideias perfeitas, mas com emoções reais.
CNXP-opiniao-20250607-61b5a608-78|E que toda fila começa com alguém parado — e outro atrás.
CNXP-opiniao-20250607-61b5a608-79|A próxima eleição, a próxima campanha, o próximo movimento não será vencido por quem grita mais, mas por quem entende melhor.
CNXP-opiniao-20250607-61b5a608-80|Quem sabe onde está o ser humano por trás da tela.
CNXP-opiniao-20250607-61b5a608-81|Quem respeita os cinco mil.
CNXP-opiniao-20250607-61b5a608-82|Quem honra os cinquenta.
CNXP-opiniao-20250607-61b5a608-83|E quem se recusa a virar mais um boneco no feed do dia.
CNXP-opiniao-20250512-d13c5d51-0|Em uma época de tantos discursos e pouca coerência, a maternidade cristã se destaca não pelo que diz, mas pelo que vive.
CNXP-opiniao-20250512-d13c5d51-1|A Bíblia nos lembra: “Instrui o menino no caminho em que deve andar, e até quando envelhecer não se desviará dele” (Provérbios 22:6).
CNXP-opiniao-20250512-d13c5d51-2|Note bem: a instrução não é sobre o caminho, mas no caminho.
CNXP-opiniao-20250512-d13c5d51-3|Isso muda tudo.
CNXP-opiniao-20250512-d13c5d51-4|Deus não nos chama como mães apenas para ensinarmos nossos filhos com palavras.
CNXP-opiniao-20250512-d13c5d51-5|Ele nos chama para sermos as primeiras a trilhar esse caminho, com fé, verdade e integridade.
CNXP-opiniao-20250512-d13c5d51-6|A criança aprende observando.
CNXP-opiniao-20250512-d13c5d51-7|Quando nós, mães, vivemos aquilo que pregamos, nossa vida se torna a maior aula sobre quem Deus é.
CNXP-opiniao-20250512-d13c5d51-8|Mas, quando há distância entre nosso discurso e nossa prática, nosso ensino perde força, e nossos filhos percebem.
CNXP-opiniao-20250512-d13c5d51-9|Na Bíblia, vemos mães que marcaram a história pela fé vivida, não apenas ensinada.
CNXP-opiniao-20250512-d13c5d51-10|Ana, por exemplo, entregou seu filho ao Senhor antes mesmo de criá-lo (1 Samuel 1:27-28).
CNXP-opiniao-20250512-d13c5d51-11|Maria, ao receber a notícia de que seria mãe do Salvador, respondeu com submissão: “Eis aqui a serva do Senhor; cumpra-se em mim segundo a tua palavra” (Lucas 1:38).
CNXP-opiniao-20250512-d13c5d51-12|Já Eunice e Lóide, mãe e avó de Timóteo, deixaram um legado de fé sincera, reconhecido pelo próprio apóstolo Paulo: “Lembro-me da fé não fingida que em ti há, a qual habitou primeiro em tua avó Lóide e em tua mãe Eunice, e estou certo de que também em ti” (2 Timóteo 1:5).
CNXP-opiniao-20250512-d13c5d51-13|Essas mulheres não apenas falaram de Deus aos seus filhos, elas caminharam com Deus — e é isso que verdadeiramente molda gerações.
CNXP-opiniao-20250512-d13c5d51-14|Ser mãe segundo o coração de Deus é uma vocação diária.
CNXP-opiniao-20250512-d13c5d51-15|É colocar os princípios eternos dentro da rotina comum, traduzir o evangelho em atitudes, e revelar o caráter de Cristo mesmo nos pequenos gestos.
CNXP-opiniao-20250512-d13c5d51-16|É ensinar, corrigir, amar, perdoar, consolar — como Deus faz conosco.
CNXP-opiniao-20250512-d13c5d51-17|“Como alguém a quem sua mãe consola, assim eu vos consolarei” (Isaías 66:13).
CNXP-opiniao-20250512-d13c5d51-18|É reconhecer que nossos filhos são dádiva, não propriedade: “Os filhos são herança do Senhor” (Salmos 127:3).
CNXP-opiniao-20250512-d13c5d51-19|E é saber que, para educarmos com sabedoria, precisaremos buscar a sabedoria que vem do alto: “Se algum de vós tem falta de sabedoria, peça-a a Deus” (Tiago 1:5).
CNXP-opiniao-20250512-d13c5d51-20|Afinal, o temor do Senhor é o princípio da sabedoria (Provérbios 9:10).
CNXP-opiniao-20250512-d13c5d51-21|A intercessão materna também é essencial nesse processo.
CNXP-opiniao-20250512-d13c5d51-22|Como mães, somos chamadas a orar por nossos filhos, intercedendo por sua proteção, crescimento espiritual e decisões de vida.
CNXP-opiniao-20250512-d13c5d51-23|A oração de uma mãe é uma ferramenta poderosa, cheia de fé e esperança, que move o céu e toca o coração de Deus.
CNXP-opiniao-20250512-d13c5d51-24|Como Paulo orienta a Timóteo: “Portanto, exorto, antes de tudo, que se façam súplicas, orações, intercessões e ações de graças por todos os homens” (1 Timóteo 2:1).
CNXP-opiniao-20250512-d13c5d51-25|Que sejamos mães persistentes em oração, buscando a face de Deus com constância, mesmo quando os frutos ainda não são visíveis.
CNXP-opiniao-20250512-d13c5d51-26|Porque toda semente regada com fé, no tempo certo, floresce.
CNXP-opiniao-20250512-d13c5d51-27|A mulher virtuosa, descrita em Provérbios 31, é chamada de bem-aventurada por seus filhos e louvada por seu marido, não apenas por sua força e diligência, mas por sua coerência de vida e temor a Deus.
CNXP-opiniao-20250512-d13c5d51-28|Em tempos de tantas vozes, o exemplo continua sendo a linguagem mais poderosa.
CNXP-opiniao-20250512-d13c5d51-29|Que nós, mães cristãs, sejamos como setas firmes apontando o Caminho — Jesus — não com imposição, mas com presença, com passos que mostram onde vale a pena andar.
CNXP-opiniao-20250512-d13c5d51-30|Que nossos filhos possam, no futuro, dizer com convicção: “Minha mãe não apenas falou sobre Deus; ela me mostrou Deus com a vida que levou.” E esse Caminho em que devemos andar é Jesus.
CNXP-opiniao-20250512-d13c5d51-31|Ele é o Caminho, a Verdade e a Vida (João 14:6).
CNXP-opiniao-20250512-d13c5d51-32|Que o seu chamado seja vivido com graça, verdade e fé.
CNXP-opiniao-20250512-d13c5d51-33|Feliz Dia das Mães!
CNXP-opiniao-20250502-7491424b-0|Enquanto você reclama da falta de engajamento na última arte postada, o mundo lá fora está em guerra.
CNXP-opiniao-20250502-7491424b-1|Não uma guerra de tanques e bombas — ainda —, mas uma guerra silenciosa, estratégica, que já movimenta economias, ideologias e alianças políticas globais.
CNXP-opiniao-20250502-7491424b-2|De um lado, a China comunista, que, em poucas décadas, saiu do “made in miséria” para se tornar o maior canteiro de produção do planeta.
CNXP-opiniao-20250502-7491424b-3|De outro, os Estados Unidos, tentando manter o trono numa sala que a China já começou a redecorar.
CNXP-opiniao-20250502-7491424b-4|E, no meio da confusão, Donald Trump — que não está exatamente no meio, mas anda orquestrando esse caos com tarifas, discursos explosivos e aquela lógica econômica que só ele — e talvez mais uns três assessores — compreendem de verdade.
CNXP-opiniao-20250502-7491424b-5|Nestes primeiros 100 dias de governo, Trump já deixou claro que não pretende brincar de diplomacia de salão: demitiu, cortou ajuda externa, reescreveu alianças e declarou guerra comercial.
CNXP-opiniao-20250502-7491424b-6|E, claro, como toda boa trama, temos os números: a aprovação de Trump, neste momento, é de apenas 39% entre os eleitores americanos.
CNXP-opiniao-20250502-7491424b-7|O que levanta a pergunta: estamos diante de uma estratégia corajosa e visionária ou de uma implosão gradual?
CNXP-opiniao-20250502-7491424b-8|A guerra comercial, especificamente contra a China, virou o palco central dessa disputa.
CNXP-opiniao-20250502-7491424b-9|De um lado, Trump sobe tarifas a níveis surreais sobre produtos chineses, num ataque comercial digno de filmes de ficção política.
CNXP-opiniao-20250502-7491424b-10|De outro, Xi Jinping avisa que a China já está com seu “plano de emergência” pronto para cenários extremos.
CNXP-opiniao-20250502-7491424b-11|Cada um com seu teatro.
CNXP-opiniao-20250502-7491424b-12|Cada um com suas cartas.
CNXP-opiniao-20250502-7491424b-13|E o mundo?
CNXP-opiniao-20250502-7491424b-14|Observa, sem entender muito se está assistindo a uma reedição moderna da Guerra Fria ou ao Kung-Fusão.
CNXP-opiniao-20250502-7491424b-15|Trump entendeu que não dá pra enfrentar a China usando as regras educadas da ONU ou qualquer norma escrita num ambiente com ar-condicionado e água Perrier.
CNXP-opiniao-20250502-7491424b-16|E então, usou o que tinha: poder tarifário.
CNXP-opiniao-20250502-7491424b-17|Começou com pequenas provocações e logo passou a escalar as taxas sobre os produtos chineses de forma tão agressiva que parecia pessoal.
CNXP-opiniao-20250502-7491424b-18|Foi subindo até se tornar praticamente proibitivo importar qualquer coisa da China.
CNXP-opiniao-20250502-7491424b-19|Um ataque comercial gradual, mas com a sutileza de um piano caindo do quinto andar.
CNXP-opiniao-20250502-7491424b-20|E não pense que foi uma ação isolada.
CNXP-opiniao-20250502-7491424b-21|Trump chegou a subir tarifas de vários países, só pra depois baixar tudo e equalizar em um mesmo patamar — menos a China.
CNXP-opiniao-20250502-7491424b-22|Só pra deixar claro, com todas as letras (ou taxas), onde estava o problema.
CNXP-opiniao-20250502-7491424b-23|Porque, veja bem, em política, como no xadrez, nem toda peça se move pra ser vista.
CNXP-opiniao-20250502-7491424b-24|Às vezes, ela se move para preparar o ataque que ninguém verá chegando.
CNXP-opiniao-20250502-7491424b-25|Quem joga xadrez entende: você não faz um movimento porque ele parece bonito.
CNXP-opiniao-20250502-7491424b-26|Você faz porque ele se conecta com algo maior, com uma estrutura de proteção, com uma intenção que só se revela lá na frente.
CNXP-opiniao-20250502-7491424b-27|Se você está movendo a torre pra chamar atenção ou levando o bispo pro centro só pra bater foto, sinto informar — você vai perder.
CNXP-opiniao-20250502-7491424b-28|E aqui vai a parte que dói: campanha política não é feed de Instagram.
CNXP-opiniao-20250502-7491424b-29|E like, meu amigo, não vence eleição.
CNXP-opiniao-20250502-7491424b-30|Enquanto tem gente por aí gastando rios de dinheiro em post com bordas coloridas e frase de efeito, os estrategistas de verdade estão em silêncio.
CNXP-opiniao-20250502-7491424b-31|Entrando na casa das pessoas sem estardalhaço.
CNXP-opiniao-20250502-7491424b-32|Porque eles sabem que quem grita antes da hora vira ruído.
CNXP-opiniao-20250502-7491424b-33|Quem se move no tempo certo vira nome na urna.
CNXP-opiniao-20250502-7491424b-34|Essa obsessão por aparecer — por ser curtido, validado, elogiado — é a armadilha moderna do político desesperado.
CNXP-opiniao-20250502-7491424b-35|A rede social, com seus algoritmos de dopamina, convenceu muita gente de que ser visto é sinônimo de ser relevante.
CNXP-opiniao-20250502-7491424b-36|Mas, na política, quanto mais você fala, mais você mostra.
CNXP-opiniao-20250502-7491424b-37|E, quanto mais você mostra, mais exposto fica.
CNXP-opiniao-20250502-7491424b-38|A melhor jogada?
CNXP-opiniao-20250502-7491424b-39|Avançar sem ser notado.
CNXP-opiniao-20250502-7491424b-40|Criar vínculos reais, construir grupos locais, montar uma rede viva e orgânica de apoiadores que acreditam em você não porque viram um vídeo bonito, mas porque já te ouviram de perto.
CNXP-opiniao-20250502-7491424b-41|É como dizem os mestres do tabuleiro: “A ameaça é mais poderosa que a execução.” Mostrar tudo, o tempo todo, esgota sua narrativa.
CNXP-opiniao-20250502-7491424b-42|Esconde o mistério.
CNXP-opiniao-20250502-7491424b-43|Rouba o impacto.
CNXP-opiniao-20250502-7491424b-44|Quando a campanha começar, é hora de falar alto.
CNXP-opiniao-20250502-7491424b-45|Mas agora, o mais sábio é falar baixo.
CNXP-opiniao-20250502-7491424b-46|Ou melhor: agir calado.
CNXP-opiniao-20250502-7491424b-47|E, se você quiser vencer, precisa começar agora — do jeito certo.
CNXP-opiniao-20250502-7491424b-48|Entenda o seu território.
CNXP-opiniao-20250502-7491424b-49|Conheça o seu eleitor.
CNXP-opiniao-20250502-7491424b-50|Escreva menos legendas e mais planos.
CNXP-opiniao-20250502-7491424b-51|Forme alianças antes de formar carrosséis.
CNXP-opiniao-20250502-7491424b-52|Reforce sua base antes de reforçar seu feed.
CNXP-opiniao-20250502-7491424b-53|Porque, no fim das contas, a eleição não é ganha por quem parece mais animado.
CNXP-opiniao-20250502-7491424b-54|É ganha por quem sabe exatamente o que está fazendo — mesmo que ninguém esteja vendo.
CNXP-opiniao-20241126-a4eb0f58-0|O ex-deputado estadual e vereador eleito de Campo Grande, Rafael Tavares (PL), foi condenado criminalmente pela Justiça após fazer um comentário irônico contra o deputado federal Vander Loubet (PT-MS) em uma publicação na internet.
CNXP-opiniao-20241126-a4eb0f58-1|"A decisão foi proferida pela juíza Eliane de Freitas Lima Vicente, do Tribunal de Justiça de Mato Grosso do Sul (TJMS), que apontou que o conservador ""ultrapassou os limites da crítica"" ao atingir a honra do parlamentar do PT."
CNXP-opiniao-20241126-a4eb0f58-2|O caso ocorreu em julho de 2022, quando um furto na residência de Vander Loubet foi amplamente divulgado pela imprensa local.
CNXP-opiniao-20241126-a4eb0f58-3|Ao falar sobre o assunto, Rafael Tavares publicou um vídeo nas redes sociais com a legenda irônica: “Finalmente, o cachorro mijou no poste”.
CNXP-opiniao-20241126-a4eb0f58-4|"Além disso, inseriu na legenda da publicação: ""Ladrão que rouba ladrão tem cem anos de perdão""."
CNXP-opiniao-20241126-a4eb0f58-5|A defesa do deputado petista argumentou que as declarações do bolsonarista configuraram uma clara tentativa de difamar sua reputação e pediu sua condenação pelo crime de injúria, previsto no artigo 140 do Código Penal.
CNXP-opiniao-20241126-a4eb0f58-6|"Na sentença publicada nesta segunda-feira (25), a magistrada entendeu que ""a fala transcrita demonstra a ocorrência da conduta imputada, evidenciando que o réu proferiu palavras que ofenderam o querelante""."
CNXP-opiniao-20241126-a4eb0f58-7|"""Além disso, é possível perceber, pelo contexto irônico e direcionado do vídeo, a intenção de denegrir a honra do ofendido (animus injuriandi), ultrapassando a mera crítica a fatos públicos, como alegou o réu em sua defesa"", completou a magistrada."
CNXP-opiniao-20241126-a4eb0f58-8|Com isso, Rafael Tavares foi condenado a uma pena de três meses de detenção em regime aberto, substituída por uma multa correspondente a quatro salários mínimos, além do pagamento de R$ 2 mil em indenização ao deputado do PT.
CNXP-opiniao-20241126-a4eb0f58-9|Vale lembrar que a decisão não é definitiva, portanto, a defesa do conservador ainda pode recorrer em segunda instância.
CNXP-opiniao-20241012-4d280c88-0|Em 11 de outubro de 1944, os soldados brasileiros vivenciaram um dos momentos mais decisivos da campanha aliada na Itália.
CNXP-opiniao-20241012-4d280c88-1|Há 80 anos, em 11 de outubro de 1944, o silêncio nas montanhas italianas de Barga era interrompido pelo som ensurdecedor dos tiros.
CNXP-opiniao-20241012-4d280c88-2|Sob o céu nublado, os pracinhas da Força Expedicionária Brasileira (FEB) avançavam em direção à cidade.
CNXP-opiniao-20241012-4d280c88-3|O terreno acidentado, a resistência feroz dos alemães e o peso do cansaço tornavam cada passo um desafio.
CNXP-opiniao-20241012-4d280c88-4|Mas eles não hesitavam.
CNXP-opiniao-20241012-4d280c88-5|O compromisso com a vitória, com o país que deixaram a milhares de quilômetros, os impulsionava.
CNXP-opiniao-20241012-4d280c88-6|Os soldados brasileiros, muitos deles jovens e inexperientes, fizeram história ao cruzar fronteiras físicas e emocionais que talvez nunca imaginassem.
CNXP-opiniao-20241012-4d280c88-7|A tomada de Barga foi mais do que uma manobra militar bem-sucedida; foi um símbolo de coragem em uma guerra que, até então, parecia tão distante do Brasil.
CNXP-opiniao-20241012-4d280c88-8|Em meio ao caos da Segunda Guerra Mundial, as tropas brasileiras provaram que o espírito de luta e a capacidade de adaptação não se limitavam às potências já estabelecidas no conflito.
CNXP-opiniao-20241012-4d280c88-9|O avanço sobre Barga não foi isolado.
CNXP-opiniao-20241012-4d280c88-10|Quatro dias antes, a FEB havia conquistado Fornaci, uma cidade com uma fábrica vital para os alemães, que produzia munições e acessórios para aviões.
CNXP-opiniao-20241012-4d280c88-11|O esforço em destruir aquela instalação falhou, e as forças brasileiras, sob o comando do General Zenóbio da Costa, prosseguiram com uma estratégia que envolvia planejamento meticuloso e operações de reconhecimento.
CNXP-opiniao-20241012-4d280c88-12|Enviar patrulhas de infantaria para obter informações sobre as posições inimigas foi uma decisão decisiva.
CNXP-opiniao-20241012-4d280c88-13|O que parecia um momento de breve pausa revelou-se crucial para a retomada do avanço, à medida que essas patrulhas retornaram com relatos detalhados sobre as defesas nazistas.
CNXP-opiniao-20241012-4d280c88-14|Entretanto, nenhum planejamento poderia suavizar o impacto do fogo inimigo.
CNXP-opiniao-20241012-4d280c88-15|Os pracinhas enfrentaram artilharia pesada, metralhadoras e morteiros.
CNXP-opiniao-20241012-4d280c88-16|O som das explosões reverberava pelas montanhas, mas, com cada obstáculo superado, vinha a certeza de que o sacrifício não seria em vão.
CNXP-opiniao-20241012-4d280c88-17|A cidade de Barga, ponto estratégico para os Aliados, foi finalmente tomada.
CNXP-opiniao-20241012-4d280c88-18|E, por mais que a conquista tenha sido celebrada, era apenas o início de mais desafios que aguardavam aqueles soldados.
CNXP-opiniao-20241012-4d280c88-19|Até o dia 4 de novembro de 1944, Barga permaneceu sob controle da FEB, até que as tropas fossem deslocadas para o Vale do Reno.
CNXP-opiniao-20241012-4d280c88-20|O legado da ocupação daquela pequena cidade italiana ecoa até hoje, não só pela vitória militar, mas pelo que ela representou para um Brasil que, muitas vezes, subestima sua própria força.
CNXP-opiniao-20241012-4d280c88-21|Os pracinhas de Barga personificaram a resiliência e a determinação de um povo que, embora geograficamente distante da Europa, compreendia o valor universal da liberdade.
CNXP-opiniao-20241012-4d280c88-22|A lembrança desses heróis se mistura à memória de uma guerra que transformou o mundo.
CNXP-opiniao-20241012-4d280c88-23|A história da FEB é uma história de sacrifício, superação e, acima de tudo, de fé no dever cumprido.
CNXP-opiniao-20241012-4d280c88-24|É também uma lição sobre a importância de valorizar nossos feitos, por menores que pareçam, e de reconhecer o papel do Brasil em um dos maiores conflitos da humanidade.
CNXP-opiniao-20241012-4d280c88-25|Aos 80 anos da conquista de Barga, que essa memória nunca esmaeça, pois, assim como o sacrifício daqueles soldados, ela é fundamental para nossa identidade e para o legado que deixamos para as próximas gerações.
CNXP-opiniao-20241012-4d280c88-26|O nome de Barga pode ser pequeno nos livros de história mundial, mas, para o Brasil, representa um grande feito.
CNXP-opiniao-20241012-4d280c88-27|Um feito que reflete o espírito de uma nação que, quando chamada, respondeu com bravura.
CNXP-opiniao-20241012-4d280c88-28|E que, 80 anos depois, ainda inspira.
CNXP-opiniao-20240402-6c7ccdde-0|Nas eleições de 2020, foram eleitas 9.196 vereadoras e 48.265 vereadores.
CNXP-opiniao-20240402-6c7ccdde-1|No Executivo municipal, segundo dados do TSE, foram eleitas 663 prefeitas.
CNXP-opiniao-20240402-6c7ccdde-2|Houve um aumento em relação a 2016: 16% do total de eleitos no caso das vereadoras e 4,4% em relação às prefeitas.
CNXP-opiniao-20240402-6c7ccdde-3|O crescimento também ocorreu no número de candidaturas femininas.
CNXP-opiniao-20240402-6c7ccdde-4|Em 2020, tivemos um recorde de candidatas disputando prefeituras e câmaras municipais.
CNXP-opiniao-20240402-6c7ccdde-5|Diante do discreto avanço, é fato que a representatividade feminina destoa do tamanho do eleitorado.
CNXP-opiniao-20240402-6c7ccdde-6|Basta observarmos que, das 663 prefeitas, apenas nove administram cidades de grande porte e somente uma foi eleita para capital.
CNXP-opiniao-20240402-6c7ccdde-7|Nas Câmaras Municipais, em mais de 1.800 cidades, apenas uma foi eleita vereadora e, em 933 delas, não existe nenhuma mulher.
CNXP-opiniao-20240402-6c7ccdde-8|É inconteste a necessidade de avanços para promover uma representação equitativa e inclusiva de mulheres na política, sendo que, nas eleições deste ano, teremos mais um fator complicador: a polarização como ingrediente definidor na disputa eleitoral.
CNXP-opiniao-20240402-6c7ccdde-9|A história mostra que a polarização política é um fenômeno recorrente e, atualmente, é uma tendência mundial, segundo o professor Thomas E. Patterson, da Kennedy School of Government, Universidade de Harvard, autor do livro We the people.
